id,key,value,type
42939698,railway,switch,regular
42939708,railway,switch,regular
46801433,highway,turning_circle,regular
46801653,highway,turning_circle,regular
46801755,highway,turning_circle,regular
46801755,source,Bing,regular
46801759,highway,turning_circle,regular
46801759,source,Bing,regular
46801838,highway,turning_circle,regular
46801922,source,Bing,regular
46801922,traffic_calming,bump,regular
46802424,ford,yes,regular
46804401,highway,turning_circle,regular
46807625,barrier,gate,regular
46807958,highway,motorway_junction,regular
46807958,noref,yes,regular
46810256,highway,turning_circle,regular
46810308,highway,turning_circle,regular
46817979,ford,yes,regular
46818189,highway,traffic_signals,regular
46818193,highway,traffic_signals,regular
46818202,highway,traffic_signals,regular
46818286,highway,motorway_junction,regular
46818286,ref,114,regular
46822999,highway,turning_circle,regular
46824147,ford,yes,regular
46824256,ford,yes,regular
46824351,ford,yes,regular
46824403,ford,yes,regular
46829779,railway,level_crossing,regular
46831197,railway,level_crossing,regular
46836198,highway,turning_circle,regular
46836205,highway,turning_circle,regular
46836388,highway,turning_circle,regular
46837490,ford,yes,regular
46837504,ford,yes,regular
46837887,ford,yes,regular
46838245,highway,turning_circle,regular
46839822,power,pole,regular
46839822,source,Bing,regular
46839826,power,pole,regular
46839826,source,Bing,regular
46839829,power,pole,regular
46839829,source,Bing,regular
46839833,power,pole,regular
46839833,source,Bing,regular
46847761,highway,turning_circle,regular
46848939,highway,motorway_junction,regular
46848939,noref,yes,regular
46854904,railway,level_crossing,regular
46857051,power,tower,regular
46857051,source,yahoo_wms,regular
46857053,power,tower,regular
46857053,source,yahoo_wms,regular
46857058,power,tower,regular
46857058,source,yahoo_wms,regular
46857062,power,tower,regular
46857062,source,yahoo_wms,regular
46857066,power,tower,regular
46857066,source,yahoo_wms,regular
46857072,power,tower,regular
46857072,source,yahoo_wms,regular
46857078,power,tower,regular
46857078,source,yahoo_wms,regular
46857082,power,tower,regular
46857082,source,yahoo_wms,regular
46857087,power,tower,regular
46857087,source,yahoo_wms,regular
46857091,power,tower,regular
46857091,source,yahoo_wms,regular
46857098,power,tower,regular
46857098,source,yahoo_wms,regular
46857101,power,tower,regular
46857101,source,yahoo_wms,regular
46857110,power,tower,regular
46857110,source,yahoo_wms,regular
46862680,highway,turning_circle,regular
46865879,railway,level_crossing,regular
46866839,ford,yes,regular
46866950,highway,turning_circle,regular
46867532,highway,motorway_junction,regular
46867532,noref,yes,regular
46867560,highway,motorway_junction,regular
46867560,noref,yes,regular
46872961,highway,turning_circle,regular
46873634,highway,motorway_junction,regular
46873634,noref,yes,regular
46873733,highway,motorway_junction,regular
46873733,noref,yes,regular
46874151,ford,yes,regular
46878192,highway,turning_circle,regular
46879649,highway,turning_circle,regular
46881199,highway,motorway_junction,regular
46881199,ref,113,regular
46881826,highway,turning_circle,regular
46881841,highway,turning_circle,regular
46884170,highway,turning_loop,regular
46884710,highway,traffic_signals,regular
46886019,highway,turning_circle,regular
46886986,highway,turning_circle,regular
46887057,highway,motorway_junction,regular
46887057,ref,5B,regular
46887162,highway,stop,regular
46887162,stop,all,regular
46888831,railway,level_crossing,regular
46888831,source,yahoo_wms,regular
46888841,railway,level_crossing,regular
46888841,source,yahoo_wms,regular
46889138,power,tower,regular
46889138,source,Bing,regular
46889141,power,tower,regular
46889141,source,Bing,regular
46889144,power,tower,regular
46889144,source,Bing,regular
46889147,power,tower,regular
46889147,source,Bing,regular
46890951,railway,level_crossing,regular
46891192,highway,turning_circle,regular
46901391,barrier,cattle_grid,regular
46901646,highway,turning_circle,regular
46901716,highway,traffic_signals,regular
46901716,traffic_signals,signal,regular
46901883,highway,turning_circle,regular
46901896,highway,turning_circle,regular
46902338,highway,turning_circle,regular
46902572,highway,traffic_signals,regular
46902598,highway,traffic_signals,regular
46902632,highway,turning_circle,regular
46902862,bus,yes,regular
46902862,name,Columbia Park Trail & Windmill,regular
46902862,public_transport,stop_position,regular
46902865,crossing,marked,regular
46902865,highway,crossing,regular
46903045,highway,turning_circle,regular
46903486,barrier,gate,regular
46903511,highway,turning_circle,regular
46903516,highway,turning_circle,regular
46903658,highway,turning_circle,regular
46904041,highway,traffic_signals,regular
46904045,highway,traffic_signals,regular
