id,user,uid,version,changeset,timestamp
5710363,Natfoot,567792,18,83500616,2020-04-14T01:11:52Z
5835678,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:08Z
5835679,Howpper,1240864,5,70945094,2019-06-05T06:16:34Z
5835680,n7xsd,50005,3,2707478,2009-10-02T03:05:10Z
5835681,Howpper,1240864,8,60020373,2018-06-20T19:21:48Z
5835682,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:08Z
5835683,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:08Z
5835684,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:08Z
5835685,TheDutchMan13,1330847,5,49249492,2017-06-04T19:09:08Z
5835686,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:09Z
5835688,TheDutchMan13,1330847,5,49249492,2017-06-04T19:09:09Z
5835689,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:09Z
5835690,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:09Z
5835691,TheDutchMan13,1330847,3,49249492,2017-06-04T19:09:09Z
5835693,DJ Cane,47194,5,82277433,2020-03-17T00:12:46Z
5835694,TheDutchMan13,1330847,7,49249492,2017-06-04T19:09:10Z
5835695,balrog-kun,20587,2,4304468,2010-04-02T15:48:36Z
5835696,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:10Z
5835697,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:10Z
5835698,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:10Z
5835699,Sundance,239998,4,8771769,2011-07-19T19:20:14Z
5835700,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:10Z
5835701,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:10Z
5835702,teodorab_telenav,6294893,5,53635011,2017-11-09T10:20:58Z
5835703,teodorab_telenav,6294893,3,53635011,2017-11-09T10:20:58Z
5835704,teodorab_telenav,6294893,5,53635011,2017-11-09T10:20:58Z
5835705,TheDutchMan13,1330847,3,49249492,2017-06-04T19:09:11Z
5835706,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:11Z
5835707,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:11Z
5835709,TheDutchMan13,1330847,4,49249492,2017-06-04T19:09:11Z
5835711,TheDutchMan13,1330847,5,49249492,2017-06-04T19:09:11Z
5835712,TheDutchMan13,1330847,5,49249492,2017-06-04T19:09:11Z
5835713,Howpper,1240864,7,73347081,2019-08-14T12:39:16Z
5835715,Howpper,1240864,5,61859482,2018-08-21T15:04:43Z
5835716,balrog-kun,20587,3,4304468,2010-04-02T15:48:43Z
5835719,miroslavuzice87,4611642,4,68299765,2019-03-19T15:42:09Z
5835720,miroslavuzice87,4611642,3,68332759,2019-03-20T11:51:32Z
5835722,miroslavuzice87,4611642,3,68335823,2019-03-20T13:24:34Z
5835726,kfremd,7679992,3,58449437,2018-04-26T16:27:20Z
5835730,miroslavuzice87,4611642,2,68335680,2019-03-20T13:20:27Z
5835731,MajaMaravic,9357577,2,68831806,2019-04-03T10:31:48Z
5835736,zephyr,121241,2,4959587,2010-06-11T03:20:42Z
5835776,OrcaDan,411531,3,83433690,2020-04-12T17:09:57Z
5835782,miroslavuzice87,4611642,2,68328257,2019-03-20T10:13:14Z
5835787,DaveHansenTiger,7168,1,391624,2007-09-08T16:34:34Z
5835798,balrog-kun,20587,3,4304468,2010-04-02T15:48:53Z
5835815,Dion Dock,97431,2,22283720,2014-05-12T04:54:00Z
5835816,hofoen,52797,2,39904252,2016-06-09T09:22:07Z
5835817,Jessica12345,9372753,3,81184923,2020-02-18T18:38:11Z
5835819,Misa_zumba,8774347,2,68329190,2019-03-20T10:34:47Z
5835821,Misa_zumba,8774347,2,68329941,2019-03-20T10:50:48Z
5835826,miroslavuzice87,4611642,2,68326631,2019-03-20T09:33:13Z
5835846,DaveHansenTiger,7168,1,391624,2007-09-08T16:36:09Z
5835849,Natfoot,567792,4,75208277,2019-10-03T03:14:23Z
5835909,kwametedros,2171127,2,58383832,2018-04-24T18:28:33Z
5835912,miroslavuzice87,4611642,2,68295067,2019-03-19T13:28:34Z
5835918,Natfoot,567792,2,80086123,2020-01-25T23:18:06Z
5835929,OrcaDan,411531,3,83260612,2020-04-08T14:57:30Z
5835936,OrcaDan,411531,3,83260612,2020-04-08T14:57:30Z
5835969,Howpper,1240864,14,77634347,2019-11-27T13:28:19Z
5835987,Dion Dock,97431,4,64365647,2018-11-11T02:02:11Z
5835988,kwametedros,2171127,2,58391532,2018-04-24T22:49:35Z
5835994,Dion Dock,97431,3,64365647,2018-11-11T02:02:11Z
5835999,miroslavuzice87,4611642,2,68284754,2019-03-19T08:09:25Z
5836000,AndrewSnow,371121,3,64957486,2018-11-28T03:32:19Z
5836001,Dion Dock,97431,3,64314135,2018-11-09T05:26:12Z
5836003,miroslavuzice87,4611642,2,68287665,2019-03-19T09:58:05Z
5836013,miroslavuzice87,4611642,2,68363602,2019-03-21T07:39:02Z
5836014,miroslavuzice87,4611642,2,68363602,2019-03-21T07:39:02Z
5836016,magrej,7345137,2,68909709,2019-04-05T06:49:44Z
5836036,pete404,2716442,2,47555338,2017-04-07T23:52:24Z
5836038,spjaquish,7151510,2,58387122,2018-04-24T20:12:21Z
5836039,balrog-kun,20587,4,4304468,2010-04-02T15:49:17Z
5836040,DareDJ,7404838,2,68796292,2019-04-02T14:30:09Z
5836045,Howpper,1240864,11,43857885,2016-11-21T21:57:41Z
5836047,MajaMaravic,9357577,3,68830401,2019-04-03T09:54:48Z
5836048,miroslavuzice87,4611642,2,68288286,2019-03-19T10:18:49Z
5836049,MajaMaravic,9357577,2,68830401,2019-04-03T09:54:48Z
